type,count,pct
"Dramas, Faith & Spirituality, Sports Movies",1,0.01
"Classic Movies, Comedies, Romantic Movies",1,0.01
"Action & Adventure, Children & Family Movies, Independent Movies",1,0.01
"British TV Shows, TV Comedies, TV Dramas",1,0.01
"TV Comedies, TV Horror, TV Thrillers",1,0.01
"Anime Features, Romantic Movies",1,0.01
"Docuseries, Science & Nature TV, TV Comedies",1,0.01
"Action & Adventure, Sci-Fi & Fantasy, Sports Movies",1,0.01
"Classic & Cult TV, Kids' TV, TV Comedies",1,0.01
"Classic Movies, Dramas, LGBTQ Movies",1,0.01
"Comedies, Romantic Movies, Sports Movies",1,0.01
"Anime Series, Kids' TV, TV Action & Adventure",1,0.01
"Crime TV Shows, TV Comedies, Teen TV Shows",1,0.01
"Kids' TV, TV Action & Adventure, TV Dramas",1,0.01
"Dramas, Romantic Movies, Thrillers",1,0.01
"Action & Adventure, Dramas, Romantic Movies",1,0.01
"Action & Adventure, Cult Movies",1,0.01
"Children & Family Movies, Comedies, LGBTQ Movies",1,0.01
"Action & Adventure, Comedies, Music & Musicals",1,0.01
"Music & Musicals, Romantic Movies",1,0.01
"Classic Movies, Horror Movies, Thrillers",1,0.01
"Classic & Cult TV, TV Dramas, TV Sci-Fi & Fantasy",1,0.01
"Dramas, Horror Movies, Music & Musicals",1,0.01
"Kids' TV, TV Comedies, Teen TV Shows",1,0.01
"Classic Movies, Dramas, Thrillers",1,0.01
"Classic & Cult TV, Crime TV Shows, TV Dramas",1,0.01
"Docuseries, TV Sci-Fi & Fantasy",1,0.01
"British TV Shows, Classic & Cult TV, Kids' TV",1,0.01
"Docuseries, Science & Nature TV, TV Action & Adventure",1,0.01
"Comedies, Cult Movies, LGBTQ Movies",1,0.01
"Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy",1,0.01
Sci-Fi & Fantasy,1,0.01
"Action & Adventure, Comedies, Horror Movies",1,0.01
"TV Horror, Teen TV Shows",1,0.01
"Classic & Cult TV, TV Sci-Fi & Fantasy",1,0.01
"Reality TV, Spanish-Language TV Shows",1,0.01
"Action & Adventure, Documentaries, Sports Movies",1,0.01
"Anime Features, International Movies, Sci-Fi & Fantasy",1,0.01
"LGBTQ Movies, Thrillers",1,0.01
"Action & Adventure, Sports Movies",1,0.01
Sports Movies,1,0.01
"Kids' TV, Reality TV, Science & Nature TV",1,0.01
"Children & Family Movies, Dramas, Music & Musicals",1,0.01
"Action & Adventure, Romantic Movies, Sci-Fi & Fantasy",1,0.01
"Anime Features, International Movies",1,0.01
"International TV Shows, Spanish-Language TV Shows, TV Horror",1,0.01
"Classic Movies, Independent Movies, Thrillers",1,0.01
"TV Comedies, TV Mysteries",1,0.01
"International TV Shows, Romantic TV Shows, TV Mysteries",1,0.01
"Classic Movies, Cult Movies, Documentaries",1,0.01
"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",1,0.01
"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy",1,0.01
"Anime Series, International TV Shows, Spanish-Language TV Shows",1,0.01
"Children & Family Movies, Faith & Spirituality",1,0.01
"Cult Movies, Documentaries, LGBTQ Movies",1,0.01
"Comedies, Music & Musicals, Sports Movies",1,0.01
"Classic Movies, Comedies, Sports Movies",1,0.01
"Comedies, Dramas, Sports Movies",1,0.01
"Action & Adventure, Dramas, Sports Movies",1,0.01
"Kids' TV, Reality TV, TV Dramas",1,0.01
"Horror Movies, LGBTQ Movies, Music & Musicals",1,0.01
"Comedies, LGBTQ Movies, Music & Musicals",1,0.01
"Children & Family Movies, Comedies, Cult Movies",1,0.01
"Classic Movies, Thrillers",1,0.01
"Crime TV Shows, TV Comedies",1,0.01
"Reality TV, Science & Nature TV",1,0.01
"Dramas, Music & Musicals, Sports Movies",1,0.01
"Dramas, Horror Movies, Sci-Fi & Fantasy",1,0.01
"International Movies, Sports Movies",1,0.01
"British TV Shows, TV Horror, TV Thrillers",1,0.01
"TV Comedies, TV Dramas, TV Sci-Fi & Fantasy",1,0.01
"Romantic TV Shows, TV Dramas, Teen TV Shows",1,0.01
"Dramas, Faith & Spirituality, Romantic Movies",1,0.01
"TV Sci-Fi & Fantasy, TV Thrillers",1,0.01
"British TV Shows, Kids' TV, TV Thrillers",1,0.01
"Docuseries, Kids' TV, Science & Nature TV",1,0.01
"Action & Adventure, Sci-Fi & Fantasy, Thrillers",1,0.01
"Documentaries, Faith & Spirituality, Music & Musicals",1,0.01
"Dramas, Faith & Spirituality, Independent Movies",1,0.01
"Action & Adventure, Cult Movies, Dramas",1,0.01
TV Action & Adventure,1,0.01
"Cult Movies, Dramas, International Movies",1,0.01
"Classic & Cult TV, TV Horror, TV Mysteries",1,0.01
"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows",1,0.01
"Crime TV Shows, Kids' TV",1,0.01
"International Movies, Romantic Movies, Thrillers",1,0.01
"Action & Adventure, Classic Movies, Sci-Fi & Fantasy",1,0.01
"British TV Shows, Kids' TV, TV Dramas",1,0.01
"Children & Family Movies, Comedies, Faith & Spirituality",1,0.01
"TV Action & Adventure, TV Comedies",1,0.01
"Action & Adventure, Anime Features, Horror Movies",1,0.01
"Horror Movies, International Movies, Sci-Fi & Fantasy",1,0.01
"Kids' TV, Spanish-Language TV Shows, Teen TV Shows",1,0.01
Independent Movies,1,0.01
"Crime TV Shows, International TV Shows, TV Mysteries",1,0.01
"Kids' TV, TV Dramas, Teen TV Shows",1,0.01
"Romantic TV Shows, Spanish-Language TV Shows, TV Dramas",1,0.01
"Classic & Cult TV, Kids' TV, Spanish-Language TV Shows",1,0.01
